Revit,Revit Langauge,Locale Codes
>=2013,English USA,"en_us, english"
>=2018,English Great Britain,en_gb
>=2013,Deutsch / German,"de_de, german"
>=2013,español / Spanish,"es_es, spanish"
>=2013,français / French,"fr_fr, french"
>=2013,italiano / Italian,"it_it, italian"
>=2013,Nederlands / Dutch,"dutch, nl_be, nl_nl"
>=2013,简体中文 / Chinese Simplified,"chinese, chinese_s"
>=2013,繁體中文 / Chinese Traditional,"chinese, chinese_t"
>=2013,日本語 / Japanese,"ja, japanese"
>=2013,한국어 / Korean,"ko, korean"
>=2013,Русский / Russian,"ru, russian"
>=2013,Čeština / Czech,"cs, czech"
>=2013,Polski / Polish,"pl, polish"
>=2013,Magyar / Hungarian,"hu, hungarian"
>=2013,Português do Brasil / Brazilian Portuguese,"brazilian, portuguese, portuguese_brazil, pt_br, pt_pt"
All,Български / Bulgarian,"bg, bulgarian"
All,فارسی / Farsi,"fa, farsi, persian"
All,العربیه / Arabic,"ar, arabic"
All,Українська / Ukrainian,"uk, ukrainian"